#ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1527	Eukaryota	Cercozoa	unknown	Thaumatomonadida	Thaumatomastigidae	Protaspis	Protaspis sp. CC-2009a
ASV_1528	Eukaryota	unknown	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum triestinum
ASV_1529	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	unassigned
ASV_1530	Eukaryota	Cryptophyta	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1531	Eukaryota	unknown	Dinophyceae	Syndiniales	Eudubosquellidae	Euduboscquella	unassigned
ASV_1532	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1533	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Cryothecomonas	Cryothecomonas sp. APCC MC5-1Cryo
ASV_1534	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1535	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1536	Eukaryota	Cercozoa	unknown	Thaumatomonadida	unknown	Esquamula	Esquamula lacrimiformis
ASV_1537	Eukaryota	unknown	Dinophyceae	Peridiniales	unassigned	unassigned	unassigned
ASV_1538	Eukaryota	Cercozoa	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1539	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Attheyaceae	Attheya	Attheya longicornis
ASV_1540	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1541	Eukaryota	unknown	Dinophyceae	Syndiniales	unassigned	unassigned	unassigned
ASV_1542	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_1543	Eukaryota	unknown	unknown	unknown	Pterocystidae	Pterocystis	unassigned
